member_srl,ref_dt,rct_dt,dsl,dpo,label
16953,20170807,20170731,7,0.5,0
16953,20170822,20170731,22,0.5,0
16953,20170907,20170731,38,0.5,0
16953,20170922,20170731,53,0.5,0
16953,20171007,20170731,68,0.5,1
16953,20171022,20171017,5,26.3333333333333,0
16953,20171107,20171017,21,26.3333333333333,1
16953,20171122,20171116,6,27.25,0
16953,20171207,20171116,21,27.25,0
16953,20171222,20171116,36,27.25,0
16953,20180107,20171116,52,27.25,1
16953,20180122,20180121,1,35.0,0
16953,20180207,20180121,17,35.0,0
16953,20180222,20180121,32,35.0,0
16953,20180307,20180121,45,35.0,1
16953,20180322,20180313,9,37.6666666666667,1
16953,20180407,20180404,3,31.0,0
16953,20180422,20180404,18,31.0,1
16953,20180507,20180507,0,28.0,0
16953,20180522,20180507,15,25.5454545454545,1
16953,20180607,20180601,6,25.5,0
16953,20180622,20180601,21,25.5,0
17721,20170907,20170906,1,0.0,0
17721,20170922,20170906,16,0.0,0
17721,20171007,20170906,31,0.0,0
17721,20171022,20170906,46,0.0,0
17721,20171107,20170906,62,0.0,0
17721,20171122,20170906,77,0.0,1
17721,20171207,20171130,7,28.3333333333333,0
17721,20171222,20171130,22,28.3333333333333,0
17721,20180107,20171130,38,28.3333333333333,0
17721,20180122,20171130,53,28.3333333333333,0
17721,20180207,20171130,69,28.3333333333333,0
17721,20180222,20171130,84,28.3333333333333,0
17721,20180307,20171130,97,28.3333333333333,0
17721,20180322,20171130,112,28.3333333333333,0
17721,20180407,20171130,128,28.3333333333333,0
17721,20180422,20171130,143,28.3333333333333,0
17721,20180507,20171130,158,28.3333333333333,0
17721,20180522,20171130,173,28.3333333333333,0
17721,20180607,20171130,189,28.3333333333333,0
17721,20180622,20171130,204,28.3333333333333,1
24411,20171107,20171031,7,0.0,0
24411,20171122,20171031,22,0.0,1
24411,20171207,20171126,11,13.0,0
24411,20171222,20171126,26,13.0,0
24411,20180107,20171126,42,13.0,0
24411,20180122,20171126,57,13.0,0
24411,20180207,20171126,73,13.0,0
24411,20180222,20171126,88,13.0,0
24411,20180307,20171126,101,13.0,0
24411,20180322,20171126,116,13.0,0
24411,20180407,20171126,132,13.0,1
24411,20180422,20180412,10,54.3333333333333,0
24411,20180507,20180412,25,54.3333333333333,1
24411,20180522,20180516,6,49.25,0
24411,20180607,20180516,22,49.25,0
24411,20180622,20180516,37,49.25,0
25105,20170722,20170710,12,0.0,1
25105,20170807,20170723,15,6.5,0
25105,20170822,20170723,30,6.5,0
25105,20170907,20170723,46,6.5,0
25105,20170922,20170723,61,6.5,1
25105,20171007,20171006,1,29.3333333333333,1
25105,20171022,20171019,3,25.25,1
25105,20171107,20171104,3,23.4,0
25105,20171122,20171104,18,23.4,0
25105,20171207,20171104,33,23.4,1
25105,20171222,20171208,14,25.1666666666667,0
25105,20180107,20171208,30,25.1666666666667,1
25105,20180122,20180116,6,27.1428571428571,0
25105,20180207,20180116,22,27.1428571428571,1
25105,20180222,20180212,10,27.125,1
25105,20180307,20180305,2,21.6363636363636,1
25105,20180322,20180319,3,21.0,1
25105,20180407,20180402,5,17.7333333333333,0
25105,20180422,20180402,20,17.7333333333333,1
25105,20180507,20180503,4,15.6315789473684,0
25105,20180522,20180503,19,15.6315789473684,0
25105,20180607,20180503,35,15.6315789473684,0
25105,20180622,20180503,50,15.6315789473684,1
30323,20170722,20170719,3,2.5,1
30323,20170807,20170806,1,4.0,1
30323,20170822,20170816,6,4.22222222222222,1
30323,20170907,20170831,7,5.3,1
30323,20170922,20170919,3,6.54545454545455,1
30323,20171007,20171005,2,6.76923076923077,1
30323,20171022,20171018,4,6.3125,1
30323,20171107,20171102,5,6.44444444444444,1
30323,20171122,20171119,3,6.65,1
30323,20171207,20171206,1,6.52173913043478,1
30323,20171222,20171221,1,6.6,0
30323,20180107,20171221,17,6.6,1
30323,20180122,20180121,1,6.75862068965517,1
30323,20180207,20180129,9,6.8,1
30323,20180222,20180218,4,6.58823529411765,1
30323,20180307,20180305,2,6.45945945945946,1
30323,20180322,20180313,9,6.33333333333333,1
30323,20180407,20180327,11,6.525,1
30323,20180422,20180422,0,6.65853658536585,1
30323,20180507,20180504,3,6.64444444444444,1
30323,20180522,20180517,5,6.78260869565217,1
30323,20180607,20180605,2,6.89583333333333,1
30323,20180622,20180613,9,6.91836734693878,1
32991,20170722,20170707,15,0.0,0
32991,20170807,20170707,31,0.0,1
32991,20170822,20170809,13,16.5,0
32991,20170907,20170809,29,16.5,0
32991,20170922,20170809,44,16.5,0
32991,20171007,20170809,59,16.5,0
32991,20171022,20170809,74,16.5,0
32991,20171107,20170809,90,16.5,0
32991,20171122,20170809,105,16.5,0
32991,20171207,20170809,120,16.5,1
35419,20180207,20180130,8,0.0,0
35419,20180222,20180130,23,0.0,0
35419,20180307,20180130,36,0.0,1
35419,20180322,20180315,7,22.0,0
35419,20180407,20180315,23,22.0,0
35419,20180422,20180315,38,22.0,0
35419,20180507,20180315,53,22.0,1
35419,20180522,20180521,1,37.0,0
35419,20180607,20180521,17,37.0,0
35419,20180622,20180521,32,37.0,0
38161,20171222,20171220,2,0.0,1
38161,20180107,20180103,4,7.0,0
38161,20180122,20180103,19,7.0,0
38161,20180207,20180103,35,7.0,0
38161,20180222,20180103,50,7.0,1
45022,20170807,20170804,3,0.0,0
45022,20170822,20170804,18,0.0,0
45022,20170907,20170804,34,0.0,0
45022,20170922,20170804,49,0.0,0
45022,20171007,20170804,64,0.0,1
45022,20171022,20171017,5,37.0,0
45022,20171107,20171017,21,37.0,0
45022,20171122,20171017,36,37.0,0
45022,20171207,20171017,51,37.0,0
45022,20171222,20171017,66,37.0,0
45022,20180107,20171017,82,37.0,1
45022,20180122,20180110,12,53.0,0
45022,20180207,20180110,28,53.0,0
45022,20180222,20180110,43,53.0,0
45022,20180307,20180110,56,53.0,0
45022,20180322,20180110,71,53.0,0
